Date,GSCI
21/08/1980,763.56
22/08/1980,757.95
25/08/1980,752.34
26/08/1980,765.11
27/08/1980,760.32
28/08/1980,759.42
29/08/1980,767.3
1/09/1980,767.3
2/09/1980,774.28
3/09/1980,776.22
4/09/1980,776.63
5/09/1980,776.55
8/09/1980,789.95
9/09/1980,788.47
10/09/1980,789.97
11/09/1980,796.8
12/09/1980,793.88
15/09/1980,800.82
16/09/1980,807.44
17/09/1980,808.87
18/09/1980,814.16
19/09/1980,822.38
22/09/1980,822.26
23/09/1980,816.57
24/09/1980,817.65
25/09/1980,819.56
26/09/1980,801.92
29/09/1980,798.51
30/09/1980,810.18
1/10/1980,815.81
2/10/1980,802.9
3/10/1980,808.5
6/10/1980,823.18
7/10/1980,822.23
8/10/1980,825.49
9/10/1980,836.94
10/10/1980,838.05
13/10/1980,847.54
14/10/1980,843.2
15/10/1980,838.24
16/10/1980,839.6
17/10/1980,841.08
20/10/1980,845.58
21/10/1980,846.68
22/10/1980,853.52
23/10/1980,846.98
24/10/1980,846.81
27/10/1980,835.59
28/10/1980,842.78
29/10/1980,841.41
30/10/1980,842.58
31/10/1980,835.6
3/11/1980,848.46
4/11/1980,848.46
5/11/1980,851.1
6/11/1980,836.77
7/11/1980,833.45
10/11/1980,815.82
11/11/1980,813.02
12/11/1980,822.39
13/11/1980,811.98
14/11/1980,818.88
17/11/1980,821.52
18/11/1980,831.89
19/11/1980,832.89
20/11/1980,844.28
21/11/1980,837.62
24/11/1980,816.77
25/11/1980,818.87
26/11/1980,819.96
27/11/1980,819.96
28/11/1980,824
1/12/1980,802.59
2/12/1980,806.59
3/12/1980,801.12
4/12/1980,793.03
5/12/1980,784.51
8/12/1980,774.19
9/12/1980,759.57
10/12/1980,751.85
11/12/1980,722.83
12/12/1980,735.38
15/12/1980,759.85
16/12/1980,759.38
17/12/1980,765.34
18/12/1980,762.84
19/12/1980,770.94
22/12/1980,773.09
23/12/1980,773.86
24/12/1980,764.72
25/12/1980,764.72
26/12/1980,764.72
29/12/1980,756.51
30/12/1980,748.31
31/12/1980,762.66
1/01/1981,762.66
2/01/1981,764.66
5/01/1981,775.46
6/01/1981,780.5
7/01/1981,773.26
8/01/1981,761.4
9/01/1981,756.16
12/01/1981,753.41
13/01/1981,755.95
14/01/1981,759.52
15/01/1981,750.45
16/01/1981,746.13
19/01/1981,740.3
20/01/1981,743.66
21/01/1981,738.92
22/01/1981,731.4
23/01/1981,728.61
26/01/1981,729.13
27/01/1981,722.14
28/01/1981,719.89
29/01/1981,709.26
30/01/1981,714.2
2/02/1981,704.36
3/02/1981,716.96
4/02/1981,709.79
5/02/1981,715.91
6/02/1981,731.92
9/02/1981,724.19
10/02/1981,722.46
11/02/1981,722.75
12/02/1981,714.86
13/02/1981,717.13
16/02/1981,717.13
17/02/1981,717.74
18/02/1981,715.02
19/02/1981,724.62
20/02/1981,716.23
23/02/1981,713.42
24/02/1981,713.03
25/02/1981,705.13
26/02/1981,700.12
27/02/1981,693.47
2/03/1981,675.38
3/03/1981,683.83
4/03/1981,669.36
5/03/1981,671.49
6/03/1981,678.02
9/03/1981,678.79
10/03/1981,671.83
11/03/1981,661.01
12/03/1981,671.06
13/03/1981,666.62
16/03/1981,662.57
17/03/1981,675.67
18/03/1981,669.33
19/03/1981,669.39
20/03/1981,665.72
23/03/1981,677.08
24/03/1981,687.98
25/03/1981,684.29
26/03/1981,689.28
27/03/1981,686.43
30/03/1981,682.29
31/03/1981,692.3
1/04/1981,688.17
2/04/1981,688.37
3/04/1981,684.34
6/04/1981,689.51
7/04/1981,693.91
8/04/1981,694.3
9/04/1981,695.3
10/04/1981,690.33
13/04/1981,686.74
14/04/1981,685.38
15/04/1981,680.63
16/04/1981,684.99
17/04/1981,684.99
20/04/1981,688.1
21/04/1981,696.38
22/04/1981,691.79
23/04/1981,692.44
24/04/1981,691.63
27/04/1981,694.54
28/04/1981,686.89
29/04/1981,684.36
30/04/1981,682.85
1/05/1981,683.75
4/05/1981,669.43
5/05/1981,666.66
6/05/1981,669.63
7/05/1981,671.82
8/05/1981,677.02
11/05/1981,667.96
12/05/1981,656.35
13/05/1981,657
14/05/1981,659.31
15/05/1981,652.36
18/05/1981,659.69
19/05/1981,659.59
20/05/1981,664.39
21/05/1981,660.69
22/05/1981,665.12
25/05/1981,665.12
26/05/1981,672.48
27/05/1981,677.71
28/05/1981,680.46
29/05/1981,686.55
1/06/1981,681.8
2/06/1981,681.05
3/06/1981,667.67
4/06/1981,670.36
5/06/1981,677.64
8/06/1981,681.52
9/06/1981,678.92
10/06/1981,685.16
11/06/1981,678.11
12/06/1981,680.21
15/06/1981,680.53
16/06/1981,675.15
17/06/1981,675.79
18/06/1981,680.89
19/06/1981,677.45
22/06/1981,672.32
23/06/1981,671.49
