Date,USDJPY,EURUSD,GBPUSD,AUDUSD,USDCAD,USDCNY,USDCHF,USDHKD,EURGBP,USDKRW,EURAUD,AUDJPY,GBPAUD,AUDCAD,AUDCHF,AUDHKD,AUDKRW
4/01/1971,715.46,,4.7876,2.2254,2.0218,,8.636,,,,,796.092,2.1513,,9.6092,22.5567,3006.07
5/01/1971,357.81,,2.3949,1.1132,1.0102,,4.3117,,,,,398.314,2.1514,,4.7998,11.2834,1503.71
6/01/1971,357.86,,2.3967,1.114,1.0106,,4.3113,,,,,398.656,2.1514,,4.8028,11.2915,1504.79
7/01/1971,357.87,,2.3963,1.1138,1.0148,,4.3103,,,,,398.596,2.1515,,4.8008,11.2895,1504.52
8/01/1971,357.82,,2.3972,1.1124,1.0154,,4.3109,,,,,398.039,2.155,,4.7954,11.2753,1502.63
11/01/1971,357.95,,2.3992,1.1152,1.0159,,4.3102,,,,,399.186,2.1514,,4.8067,11.3037,1506.41
12/01/1971,358.06,,2.4001,1.1156,1.013,,4.3099,,,,,399.452,2.1514,,4.8081,11.3077,1506.95
13/01/1971,358.44,,2.4021,1.1165,1.0122,,4.3095,,,,,400.198,2.1515,,4.8116,11.3168,1508.17
14/01/1971,358.4,,2.4071,1.1189,1.0133,,4.3095,,,,,401.014,2.1513,,4.8219,11.3412,1511.41
15/01/1971,358.4,,2.4057,1.1182,1.0135,,4.3076,,,,,400.763,2.1514,,4.8168,11.3341,1510.46
18/01/1971,358.29,,2.4052,1.1179,1.0126,,4.3029,,,,,400.532,2.1515,,4.8102,11.331,1510.06
19/01/1971,358.35,,2.4081,1.1193,1.0111,,4.3006,,,,,401.101,2.1514,,4.8137,11.3452,1511.95
20/01/1971,358.4,,2.408,1.1193,1.0115,,4.301,,,,,401.157,2.1513,,4.8141,11.3452,1511.95
21/01/1971,358.27,,2.4092,1.1198,1.0109,,4.3017,,,,,401.191,2.1515,,4.817,11.3503,1512.63
22/01/1971,357.9,,2.4103,1.1204,1.0117,,4.2996,,,,,400.991,2.1513,,4.8173,11.3564,1513.44
25/01/1971,357.73,,2.4147,1.1224,1.0111,,4.3005,,,,,401.516,2.1514,,4.8269,11.3766,1516.14
26/01/1971,357.78,,2.416,1.123,1.0107,,4.2987,,,,,401.787,2.1514,,4.8274,11.3827,1516.95
27/01/1971,357.79,,2.4161,1.123,1.0101,,4.2973,,,,,401.798,2.1515,,4.8259,11.3827,1516.95
28/01/1971,357.83,,2.4169,1.1234,1.009,,4.2978,,,,,401.986,2.1514,,4.8281,11.3868,1517.49
29/01/1971,357.72,,2.4174,1.1236,1.008,,4.2963,,,,,401.934,2.1515,,4.8273,11.3888,1517.76
1/02/1971,357.67,,2.4184,1.1241,1.0076,,4.2968,,,,,402.057,2.1514,,4.83,11.3939,1518.43
2/02/1971,357.55,,2.4181,1.124,1.0087,,4.2969,,,,,401.886,2.1513,,4.8297,11.3929,1518.3
3/02/1971,357.54,,2.4184,1.1241,1.0085,,4.2965,,,,,401.911,2.1514,,4.8297,11.3939,1518.43
4/02/1971,357.51,,2.4167,1.1233,1.0078,,4.2966,,,,,401.591,2.1514,,4.8264,11.3858,1517.35
5/02/1971,357.53,,2.4147,1.1224,1.0078,,4.2969,,,,,401.292,2.1514,,4.8228,11.3766,1516.14
8/02/1971,357.49,,2.4182,1.124,1.0083,,4.2979,,,,,401.819,2.1514,,4.8308,11.3929,1518.3
9/02/1971,357.5,,2.4151,1.1226,1.0083,,4.2969,,,,,401.33,2.1513,,4.8237,11.3787,1516.41
10/02/1971,357.5,,2.4159,1.1229,1.0086,,4.2972,,,,,401.437,2.1515,,4.8253,11.3817,1516.81
11/02/1971,357.5,,2.4158,1.1229,1.0086,,4.2967,,,,,401.437,2.1514,,4.8248,11.3817,1516.81
12/02/1971,357.5,,2.4158,1.1229,1.0086,,4.2967,,,,,,2.1514,,4.8248,11.3817,1516.81
15/02/1971,357.5,,2.4158,,1.0086,,4.2967,,,,,,2.1483,,4.8248,,
16/02/1971,357.53,,2.4193,1.1245,1.0084,,4.2968,,,,,402.043,2.1514,,4.8318,11.3979,1518.97
17/02/1971,357.53,,2.4193,1.1245,1.0087,,4.2968,,,,,402.043,2.1514,,4.8318,11.3979,1518.97
18/02/1971,357.53,,2.4191,1.1244,1.0076,,4.2967,,,,,402.007,2.1515,,4.8312,11.3969,1518.84
19/02/1971,357.56,,2.419,1.1244,1.0066,,4.2963,,,,,402.041,2.1514,,4.8308,11.3969,1518.84
22/02/1971,357.6,,2.4192,1.1245,1.0043,,4.2958,,,,,402.121,2.1514,,4.8306,11.3979,1518.97
23/02/1971,357.55,,2.4193,1.1245,1.0035,,4.2957,,,,,402.065,2.1514,,4.8305,11.3979,1518.97
24/02/1971,357.6,,2.4193,1.1245,1.0075,,4.3015,,,,,402.121,2.1514,,4.837,11.3979,1518.97
25/02/1971,357.56,,2.4177,1.1238,1.0066,,4.3073,,,,,401.826,2.1514,,4.8405,11.3908,1518.03
26/02/1971,357.56,,2.416,1.123,1.007,,4.307,,,,,401.54,2.1514,,4.8368,11.3827,1516.95
1/03/1971,357.63,,2.4162,1.1231,1.0076,,4.3073,,,,,401.654,2.1514,,4.8375,11.3837,1517.08
2/03/1971,357.56,,2.4184,1.1241,1.0071,,4.3054,,,,,401.933,2.1514,,4.8397,11.3939,1518.43
3/03/1971,357.49,,2.4193,1.1245,1.0073,,4.3039,,,,,401.998,2.1514,,4.8397,11.3979,1518.97
4/03/1971,357.45,,2.4179,1.1239,1.0064,,4.3068,,,,,401.738,2.1513,,4.8404,11.3919,1518.16
5/03/1971,357.59,,2.4183,1.1241,1.0047,,4.3066,,,,,401.967,2.1513,,4.841,11.3939,1518.43
8/03/1971,357.55,,2.4192,1.1245,1.003,,4.302,,,,,402.065,2.1514,,4.8376,11.3979,1518.97
9/03/1971,357.46,,2.4188,1.1244,1.004,,4.3011,,,,,401.928,2.1512,,4.8362,11.3969,1518.84
10/03/1971,357.59,,2.4192,1.1245,1.0036,,4.304,,,,,402.11,2.1514,,4.8398,11.3979,1518.97
11/03/1971,357.56,,2.4188,1.1243,1.0049,,4.3012,,,,,402.005,2.1514,,4.8358,11.3959,1518.7
