Date,MSCI Australia,MSCI Canada,MSCI China,MSCI EM,MSCI FM,MSCI World,MSCI Germany,MSCI Japan,MSCI UK,MSCI USA
31/12/1969,100,100,,,,100,100,100,100,100
30/01/1970,96.87,102.45,,,,94.45,95.17,98.42,99.26,92.8
27/02/1970,95.75,107,,,,97.41,92.38,99.62,93.94,97.95
31/03/1970,95.42,108.09,,,,97.71,93.19,103.67,96.24,98.46
30/04/1970,84.74,95.73,,,,88.58,88.89,91.12,86.39,89.86
29/05/1970,79.25,86.63,,,,82.99,80.55,88.7,82.04,84.72
30/06/1970,89.49,90.99,,,,80.95,77.57,90.32,85.74,81.19
31/07/1970,92.34,97.5,,,,85.97,82.3,90.51,88.91,87.23
31/08/1970,91.62,101.93,,,,88.8,83.26,89.54,88.69,90.74
30/09/1970,91.75,108.58,,,,91.67,81.9,88.5,93.86,93.76
30/10/1970,83.33,107.07,,,,90.31,80.67,89.65,93.63,93.01
30/11/1970,79.25,112.16,,,,92.34,77.75,87.07,87.21,98.05
31/12/1970,80.23,115.19,,,,96.92,75.41,87.77,92.64,103.64
29/01/1971,78.42,118.99,,,,101.37,86.23,92.57,92.9,108.38
26/02/1971,76.95,118.8,,,,102.44,89.9,96.83,91.19,109.45
31/03/1971,81.19,124.04,,,,106.93,90.74,104.82,99.02,113.87
30/04/1971,78.23,123.73,,,,110.43,85.2,110.25,109.98,118.26
31/05/1971,76.04,120.36,,,,107.81,89.24,109.47,114.02,113.64
30/06/1971,76.74,119.64,,,,108.91,89.42,119.94,115.97,114.38
30/07/1971,73.67,119.88,,,,107.17,94.06,120.52,123.75,110.28
31/08/1971,71.16,124.63,,,,109.51,92.28,112.55,125.44,114.79
30/09/1971,64.13,123.54,,,,108.47,91.26,116.28,125.56,113.33
29/10/1971,64.42,117.61,,,,104.35,84.36,111.71,122.31,109.26
30/11/1971,63.44,117.25,,,,105.23,86.61,119.49,125.49,109.68
31/12/1971,78.19,130.8,,,,114.71,93.02,134.85,135.25,116.54
31/01/1972,75.76,136.88,,,,118.91,99.78,145.39,142.7,118.88
29/02/1972,83.52,141.49,,,,123.47,108.15,158.65,151.43,122.21
31/03/1972,86.29,141.77,,,,125.19,113.74,167.16,151.62,124.11
28/04/1972,84.63,142.49,,,,126.85,110.77,175.58,156.64,124.32
31/05/1972,88.3,150.24,,,,129.43,114.05,190.69,153.59,124.18
30/06/1972,90.69,153.29,,,,126.43,112.26,198.29,139.45,121.96
31/07/1972,85.59,152.82,,,,128.38,118.66,215.22,147.3,121.27
31/08/1972,86.14,163.37,,,,132.03,115.98,220.53,148.21,125.7
29/09/1972,83.39,162.46,,,,130.02,111.82,230.53,131.94,125.91
31/10/1972,88.5,159.11,,,,131.09,109.55,237.95,131.56,127.55
30/11/1972,91.31,166.58,,,,137.97,111.16,280.31,140.83,132.47
29/12/1972,93.86,173.45,,,,140.5,109.35,304.45,138.77,134.69
31/01/1973,96.97,173.16,,,,140.83,116.29,309.55,129.9,131.5
28/02/1973,98.06,169.49,,,,141.8,126.38,335.56,131.69,125.37
30/03/1973,97.91,169.87,,,,142,133.41,336.44,131.53,123.92
30/04/1973,91.76,162.59,,,,134.84,126.35,299.15,133.07,119.18
31/05/1973,99.41,156.26,,,,134.44,118.89,306.87,137.22,117.31
29/06/1973,97,159.51,,,,135.28,132.09,312.28,136.58,117.49
31/07/1973,98.84,168.37,,,,138.51,127.47,331.19,126.53,122.13
31/08/1973,88.02,167.96,,,,132.74,123,315.5,119.51,118.08
28/09/1973,85.28,173.58,,,,136.58,123.49,298.51,121.39,122.32
31/10/1973,90.28,186.47,,,,137.96,130.76,296.97,125.7,122.86
30/11/1973,82.59,168.51,,,,120.07,108.49,256.15,106.97,109.85
31/12/1973,81.62,167.23,,,,119.09,103.42,242.03,101.12,111.79
31/01/1974,92.32,172.53,,,,120,108.48,240.69,96.84,109.89
28/02/1974,100.85,179.23,,,,121.87,105.19,250.46,103.56,109.78
29/03/1974,94.62,175.08,,,,118.78,110.99,254.68,86.95,107.1
30/04/1974,91.09,162.65,,,,116.8,119.8,258.46,93.95,102.99
31/05/1974,77.81,150.07,,,,112.1,112.44,267.77,84.41,99.81
28/06/1974,73.08,144.91,,,,108.57,108.49,258.32,76.38,98.13
31/07/1974,61.65,147.28,,,,102.14,106.3,232.63,71.51,90.34
30/08/1974,60.45,132.84,,,,92.29,103.98,207.01,61.08,82.17
30/09/1974,42.7,119.32,,,,83.68,99.36,209.25,53.92,72.62
31/10/1974,53.49,132.39,,,,91.69,105.16,191.8,55.92,85.43
29/11/1974,55.69,121.02,,,,90.26,115.18,211.7,47.35,81.48
31/12/1974,53.49,121.84,,,,88.76,119.82,203.09,48.44,79.77
31/01/1975,65.8,140.82,,,,101.7,135.29,213.32,75.59,90.05
28/02/1975,67.03,144.67,,,,110.68,153.62,244.41,95.75,95.63
31/03/1975,65.78,140.56,,,,111.49,151.73,250.49,87.79,97.9
30/04/1975,64.65,142.68,,,,116.11,154.49,251.12,101.38,102.25
30/05/1975,71.26,145.68,,,,118.86,145.39,249.88,104.75,106.85
30/06/1975,69.2,149.33,,,,120.36,145.98,252.64,88.39,111.92
31/07/1975,67.82,148.11,,,,113.71,145.14,239.75,84.36,104.36
29/08/1975,65.47,146.83,,,,111.94,137.96,229.1,95.31,102
30/09/1975,69.91,139.66,,,,107.25,131.88,214.6,94,98.37
31/10/1975,71.95,133.61,,,,114.64,148.72,237.71,99.48,105.07
28/11/1975,76.86,144.38,,,,117.77,152.32,239.73,97.64,108.18
31/12/1975,79.26,139.45,,,,117.88,154.22,242.41,102.24,107.04
30/01/1976,80.62,154.59,,,,128.41,157.69,257.32,112.27,119.47
27/02/1976,81.96,162.97,,,,127.46,160.35,259.11,108.6,118.17
31/03/1976,80.06,160.92,,,,128.96,166.65,259,102.07,122.24
30/04/1976,81.94,163.78,,,,128.02,156.69,260.65,102.11,120.89
31/05/1976,82.78,164.92,,,,125.89,151.94,262.08,91.43,119.53
30/06/1976,83.89,163.93,,,,129.76,154.37,275.17,91.53,124.77
30/07/1976,92.46,161.66,,,,128.55,153.03,270.04,88.54,124.03
31/08/1976,92.2,160.27,,,,128.26,153.37,279.49,84.15,123.85
30/09/1976,84.77,158.38,,,,129.33,160.69,280.97,74.52,126.93
29/10/1976,79.69,152.67,,,,124.81,150.83,266.23,64.72,124.5
30/11/1976,62.96,133.63,,,,124.32,158.97,263.26,71.4,123.93
31/12/1976,70.24,152.17,,,,133.67,163.12,303.34,87.4,130.45
31/01/1977,71.49,147.71,,,,129.18,160.23,294.26,95.73,124.04
28/02/1977,69.34,146.53,,,,128.61,157.75,309.33,98,121.46
31/03/1977,73.44,147.69,,,,127.81,163.05,306.33,101.22,120.02
29/04/1977,72.61,144.38,,,,129.21,176.91,311.96,104.67,120.34
31/05/1977,75.89,141.8,,,,127.45,173.25,309.99,107.32,118.03
30/06/1977,75.65,147.77,,,,132.25,169.9,322.21,110.63,123.72
29/07/1977,71.51,147.23,,,,130.48,175.65,318.36,108.91,122.13
31/08/1977,68.04,141.13,,,,130.96,176.65,335.16,121.86,119.79
30/09/1977,68.01,141.84,,,,132.59,179.98,339.91,132.04,119.8
31/10/1977,73.04,132.18,,,,130.32,189.82,346.55,134.23,114.78
30/11/1977,71.07,139.93,,,,131.96,193.56,347.51,127.15,117.7
30/12/1977,77.48,148.21,,,,134.57,203.12,349.97,135.59,118.32
31/01/1978,73.75,137.44,,,,130.62,205.65,364.69,131.94,111.37
28/02/1978,69.69,137.13,,,,129.61,213.88,378.5,124.74,108.82
31/03/1978,73.64,143.32,,,,135.47,214.64,427.47,128.04,111.4
28/04/1978,78.36,146,,,,141.56,203.59,424.73,127.73,121.86
31/05/1978,82.18,154.28,,,,143.33,204.9,428.61,133.04,122.29
30/06/1978,81.93,153.36,,,,144.75,210.81,468.85,131.47,120.28
31/07/1978,87.39,161.93,,,,155.18,222.18,517.71,145.01,127.49
31/08/1978,92.9,165.13,,,,158.74,231.85,509.96,148.97,130.78
29/09/1978,96.79,170.98,,,,160.56,244.85,521.21,150.9,130.13
31/10/1978,92.5,163.22,,,,157.43,269.56,561.64,155.01,118.98
30/11/1978,87.69,172.68,,,,151.86,238.6,509.81,147.56,121.29
29/12/1978,93.14,177.56,,,,156.81,252.36,534.59,152.25,123.37
31/01/1979,96.9,181.7,,,,160.81,248.32,532.73,151.31,128.89
28/02/1979,100.07,186.02,,,,157.72,242.84,512.2,164.32,124.32
30/03/1979,101.28,204.8,,,,164.32,237.59,493.94,189.2,131.26
