Date,SSE,AORD,SENSEX,CAC40,FTSE100,DAX,S&P500,TSX,HSI,NASDAQ,KOSPI,NIKKEI
30/12/1927,,,,,,,17.65999985,,,,,
3/01/1928,,,,,,,17.76000023,,,,,
4/01/1928,,,,,,,17.71999931,,,,,
5/01/1928,,,,,,,17.54999924,,,,,
6/01/1928,,,,,,,17.65999985,,,,,
9/01/1928,,,,,,,17.5,,,,,
10/01/1928,,,,,,,17.37000084,,,,,
11/01/1928,,,,,,,17.35000038,,,,,
12/01/1928,,,,,,,17.46999931,,,,,
13/01/1928,,,,,,,17.57999992,,,,,
16/01/1928,,,,,,,17.29000092,,,,,
17/01/1928,,,,,,,17.29999924,,,,,
18/01/1928,,,,,,,17.26000023,,,,,
19/01/1928,,,,,,,17.37999916,,,,,
20/01/1928,,,,,,,17.47999954,,,,,
23/01/1928,,,,,,,17.63999939,,,,,
24/01/1928,,,,,,,17.70999908,,,,,
25/01/1928,,,,,,,17.52000046,,,,,
26/01/1928,,,,,,,17.62999916,,,,,
27/01/1928,,,,,,,17.69000053,,,,,
30/01/1928,,,,,,,17.48999977,,,,,
31/01/1928,,,,,,,17.56999969,,,,,
1/02/1928,,,,,,,17.53000069,,,,,
2/02/1928,,,,,,,17.62999916,,,,,
3/02/1928,,,,,,,17.39999962,,,,,
6/02/1928,,,,,,,17.45000076,,,,,
7/02/1928,,,,,,,17.44000053,,,,,
8/02/1928,,,,,,,17.48999977,,,,,
9/02/1928,,,,,,,17.54999924,,,,,
10/02/1928,,,,,,,17.54000092,,,,,
14/02/1928,,,,,,,17.44000053,,,,,
15/02/1928,,,,,,,17.39999962,,,,,
16/02/1928,,,,,,,17.35000038,,,,,
17/02/1928,,,,,,,17.04000092,,,,,
20/02/1928,,,,,,,16.95000076,,,,,
21/02/1928,,,,,,,17.11000061,,,,,
23/02/1928,,,,,,,17.12999916,,,,,
24/02/1928,,,,,,,17.18000031,,,,,
27/02/1928,,,,,,,17.11000061,,,,,
28/02/1928,,,,,,,17.15999985,,,,,
29/02/1928,,,,,,,17.26000023,,,,,
1/03/1928,,,,,,,17.29999924,,,,,
2/03/1928,,,,,,,17.29999924,,,,,
5/03/1928,,,,,,,17.56999969,,,,,
6/03/1928,,,,,,,17.67000008,,,,,
7/03/1928,,,,,,,17.57999992,,,,,
8/03/1928,,,,,,,17.63999939,,,,,
9/03/1928,,,,,,,17.93000031,,,,,
12/03/1928,,,,,,,18,,,,,
13/03/1928,,,,,,,17.92000008,,,,,
14/03/1928,,,,,,,17.93000031,,,,,
15/03/1928,,,,,,,18.06999969,,,,,
16/03/1928,,,,,,,18.26000023,,,,,
19/03/1928,,,,,,,18.36000061,,,,,
20/03/1928,,,,,,,18.45999908,,,,,
21/03/1928,,,,,,,18.64999962,,,,,
22/03/1928,,,,,,,18.60000038,,,,,
23/03/1928,,,,,,,18.78000069,,,,,
26/03/1928,,,,,,,19.04999924,,,,,
27/03/1928,,,,,,,18.94000053,,,,,
28/03/1928,,,,,,,18.88999939,,,,,
29/03/1928,,,,,,,18.95000076,,,,,
30/03/1928,,,,,,,19.28000069,,,,,
2/04/1928,,,,,,,18.90999985,,,,,
3/04/1928,,,,,,,19.02000046,,,,,
4/04/1928,,,,,,,18.98999977,,,,,
5/04/1928,,,,,,,19.22999954,,,,,
9/04/1928,,,,,,,19.27000046,,,,,
10/04/1928,,,,,,,19.10000038,,,,,
11/04/1928,,,,,,,19.44000053,,,,,
12/04/1928,,,,,,,19.40999985,,,,,
13/04/1928,,,,,,,19.72999954,,,,,
16/04/1928,,,,,,,19.68000031,,,,,
17/04/1928,,,,,,,19.52000046,,,,,
18/04/1928,,,,,,,19.52000046,,,,,
19/04/1928,,,,,,,19.62999916,,,,,
20/04/1928,,,,,,,19.34000015,,,,,
23/04/1928,,,,,,,19.14999962,,,,,
24/04/1928,,,,,,,19.25,,,,,
25/04/1928,,,,,,,19.32999992,,,,,
26/04/1928,,,,,,,19.46999931,,,,,
27/04/1928,,,,,,,19.68000031,,,,,
30/04/1928,,,,,,,19.75,,,,,
1/05/1928,,,,,,,19.78000069,,,,,
