Date,AGG
29/09/2003,59.06
30/09/2003,59.37
1/10/2003,59.34
2/10/2003,59.25
3/10/2003,58.82
6/10/2003,58.90
7/10/2003,58.70
8/10/2003,58.85
9/10/2003,58.64
10/10/2003,58.96
13/10/2003,58.70
14/10/2003,58.59
15/10/2003,58.44
16/10/2003,58.29
17/10/2003,58.56
20/10/2003,58.53
21/10/2003,58.64
22/10/2003,58.90
23/10/2003,58.76
24/10/2003,59.05
27/10/2003,58.93
28/10/2003,59.16
29/10/2003,58.90
30/10/2003,58.90
31/10/2003,58.81
3/11/2003,58.71
4/11/2003,58.82
5/11/2003,58.82
6/11/2003,58.50
7/11/2003,58.53
10/11/2003,58.64
11/11/2003,58.54
12/11/2003,58.65
13/11/2003,59.08
14/11/2003,59.12
17/11/2003,59.37
18/11/2003,59.34
19/11/2003,59.07
20/11/2003,59.27
21/11/2003,59.33
24/11/2003,59.08
25/11/2003,59.32
26/11/2003,59.10
28/11/2003,59.01
1/12/2003,58.85
2/12/2003,58.83
3/12/2003,58.89
4/12/2003,58.97
5/12/2003,59.27
8/12/2003,59.27
9/12/2003,58.94
10/12/2003,59.17
11/12/2003,59.38
12/12/2003,59.42
15/12/2003,59.38
16/12/2003,59.42
17/12/2003,59.56
18/12/2003,59.65
19/12/2003,59.68
22/12/2003,59.65
23/12/2003,59.42
24/12/2003,59.46
26/12/2003,59.76
29/12/2003,59.61
30/12/2003,59.50
31/12/2003,59.59
2/01/2004,59.25
5/01/2004,59.32
6/01/2004,59.59
7/01/2004,59.72
8/01/2004,59.70
9/01/2004,60.20
12/01/2004,60.03
13/01/2004,60.17
14/01/2004,60.16
15/01/2004,60.24
16/01/2004,60.19
20/01/2004,60.14
21/01/2004,60.18
22/01/2004,60.29
23/01/2004,60.14
26/01/2004,59.91
27/01/2004,59.99
28/01/2004,59.87
29/01/2004,59.73
30/01/2004,59.85
2/02/2004,59.87
3/02/2004,60.03
4/02/2004,60.03
5/02/2004,59.87
6/02/2004,60.11
9/02/2004,60.15
10/02/2004,60.02
11/02/2004,60.26
12/02/2004,60.26
13/02/2004,60.53
17/02/2004,60.39
18/02/2004,60.34
19/02/2004,60.40
20/02/2004,60.22
23/02/2004,60.38
24/02/2004,60.33
25/02/2004,60.47
26/02/2004,60.37
27/02/2004,60.53
1/03/2004,60.56
2/03/2004,60.35
3/03/2004,60.28
4/03/2004,60.43
5/03/2004,60.88
8/03/2004,61.08
9/03/2004,61.17
10/03/2004,61.10
11/03/2004,61.23
12/03/2004,61.05
15/03/2004,61.06
16/03/2004,61.20
17/03/2004,61.17
18/03/2004,61.12
19/03/2004,61.05
22/03/2004,61.21
23/03/2004,61.22
24/03/2004,61.25
25/03/2004,61.22
26/03/2004,61.00
29/03/2004,60.89
30/03/2004,60.65
31/03/2004,60.95
1/04/2004,60.98
2/04/2004,60.42
5/04/2004,60.05
6/04/2004,60.22
7/04/2004,60.07
8/04/2004,60.11
12/04/2004,60.09
13/04/2004,59.98
14/04/2004,59.81
15/04/2004,59.72
16/04/2004,59.88
19/04/2004,59.81
20/04/2004,59.61
21/04/2004,59.47
22/04/2004,59.69
23/04/2004,59.57
26/04/2004,59.55
27/04/2004,59.70
28/04/2004,59.42
29/04/2004,59.25
30/04/2004,59.24
3/05/2004,59.15
4/05/2004,59.25
5/05/2004,59.18
6/05/2004,58.99
7/05/2004,58.49
10/05/2004,58.40
11/05/2004,58.55
12/05/2004,58.47
13/05/2004,58.46
14/05/2004,58.47
17/05/2004,58.76
18/05/2004,58.79
19/05/2004,58.69
20/05/2004,58.85
21/05/2004,58.76
24/05/2004,58.81
25/05/2004,58.79
26/05/2004,58.93
27/05/2004,59.22
28/05/2004,59.01
1/06/2004,58.94
2/06/2004,58.97
3/06/2004,58.94
4/06/2004,58.82
7/06/2004,58.88
8/06/2004,58.74
9/06/2004,58.76
10/06/2004,58.70
14/06/2004,58.53
15/06/2004,59.03
16/06/2004,58.91
17/06/2004,58.97
18/06/2004,59.06
21/06/2004,59.14
22/06/2004,59.12
23/06/2004,59.07
24/06/2004,59.29
25/06/2004,59.28
28/06/2004,59.08
29/06/2004,58.97
30/06/2004,59.44
1/07/2004,59.52
2/07/2004,59.90
6/07/2004,59.85
7/07/2004,59.82
8/07/2004,59.88
9/07/2004,59.71
12/07/2004,59.88
13/07/2004,59.82
14/07/2004,59.85
15/07/2004,59.74
16/07/2004,60.14
19/07/2004,60.05
20/07/2004,59.89
21/07/2004,59.75
22/07/2004,59.88
23/07/2004,60.01
26/07/2004,59.74
27/07/2004,59.60
28/07/2004,59.69
29/07/2004,59.55
30/07/2004,59.99
2/08/2004,59.97
3/08/2004,60.06
4/08/2004,60.19
5/08/2004,60.23
6/08/2004,60.62
9/08/2004,60.66
10/08/2004,60.50
11/08/2004,60.54
12/08/2004,60.66
13/08/2004,60.78
16/08/2004,60.71
17/08/2004,60.89
18/08/2004,60.69
19/08/2004,60.90
20/08/2004,60.72
23/08/2004,60.74
24/08/2004,60.74
25/08/2004,60.75
26/08/2004,60.86
27/08/2004,60.90
30/08/2004,60.96
31/08/2004,60.96
1/09/2004,61.18
2/09/2004,60.94
3/09/2004,60.91
7/09/2004,60.90
8/09/2004,61.09
9/09/2004,61.03
10/09/2004,61.16
13/09/2004,61.22
14/09/2004,61.28
15/09/2004,61.25
16/09/2004,61.43
17/09/2004,61.18
20/09/2004,61.44
21/09/2004,61.42
22/09/2004,61.62
23/09/2004,61.44
24/09/2004,61.46
27/09/2004,61.44
28/09/2004,61.54
29/09/2004,61.19
30/09/2004,61.28
1/10/2004,61.17
4/10/2004,61.19
5/10/2004,61.18
6/10/2004,61.07
7/10/2004,61.07
8/10/2004,61.37
11/10/2004,61.43
12/10/2004,61.37
13/10/2004,61.45
14/10/2004,61.75
15/10/2004,61.63
18/10/2004,61.58
