Date,DGS3MO,DGS1,DGS2,DGS5,DGS10,DGS30
2/01/1962,,3.22,,3.88,4.06,
3/01/1962,,3.24,,3.87,4.03,
4/01/1962,,3.24,,3.86,3.99,
5/01/1962,,3.26,,3.89,4.02,
8/01/1962,,3.31,,3.91,4.03,
9/01/1962,,3.32,,3.93,4.05,
10/01/1962,,3.33,,3.94,4.07,
11/01/1962,,3.33,,3.94,4.08,
12/01/1962,,3.3,,3.95,4.08,
15/01/1962,,3.32,,3.96,4.1,
16/01/1962,,3.3,,3.98,4.13,
17/01/1962,,3.3,,3.97,4.12,
18/01/1962,,3.27,,3.96,4.11,
19/01/1962,,3.27,,3.95,4.11,
22/01/1962,,3.25,,3.93,4.09,
23/01/1962,,3.25,,3.94,4.11,
24/01/1962,,3.24,,3.93,4.1,
25/01/1962,,3.27,,3.94,4.11,
26/01/1962,,3.28,,3.97,4.11,
29/01/1962,,3.28,,3.98,4.12,
30/01/1962,,3.28,,3.98,4.11,
31/01/1962,,3.29,,3.99,4.1,
1/02/1962,,3.3,,4,4.09,
2/02/1962,,3.3,,3.97,4.08,
5/02/1962,,3.29,,3.96,4.07,
6/02/1962,,3.29,,3.96,4.06,
7/02/1962,,3.29,,3.95,4.07,
8/02/1962,,3.3,,3.93,4.07,
9/02/1962,,3.28,,3.91,4.05,
13/02/1962,,3.28,,3.91,4.03,
14/02/1962,,3.31,,3.9,4.03,
15/02/1962,,3.33,,3.9,4.02,
16/02/1962,,3.33,,3.88,4.02,
19/02/1962,,3.32,,3.86,4.01,
20/02/1962,,3.31,,3.88,4.05,
21/02/1962,,3.28,,3.86,4.03,
23/02/1962,,3.24,,3.83,4.02,
26/02/1962,,3.22,,3.8,4,
27/02/1962,,3.23,,3.8,4.01,
28/02/1962,,3.21,,3.77,4,
1/03/1962,,3.15,,3.71,3.98,
2/03/1962,,3.17,,3.72,3.98,
5/03/1962,,3.18,,3.74,4,
6/03/1962,,3.18,,3.74,4.01,
7/03/1962,,3.14,,3.74,4,
8/03/1962,,3.11,,3.72,3.98,
9/03/1962,,3.12,,3.71,3.96,
12/03/1962,,3.13,,3.73,3.94,
13/03/1962,,3.11,,3.7,3.92,
14/03/1962,,3.1,,3.72,3.93,
15/03/1962,,3.1,,3.73,3.96,
16/03/1962,,3.06,,3.72,3.96,
19/03/1962,,3.03,,3.71,3.93,
20/03/1962,,3.02,,3.67,3.91,
21/03/1962,,3.01,,3.61,3.86,
22/03/1962,,2.94,,3.58,3.83,
23/03/1962,,2.94,,3.62,3.87,
26/03/1962,,2.95,,3.65,3.89,
27/03/1962,,2.95,,3.65,3.9,
28/03/1962,,2.96,,3.64,3.9,
29/03/1962,,2.96,,3.64,3.9,
30/03/1962,,2.97,,3.61,3.86,
2/04/1962,,2.95,,3.58,3.86,
3/04/1962,,2.93,,3.55,3.83,
4/04/1962,,2.88,,3.51,3.78,
5/04/1962,,2.89,,3.56,3.84,
6/04/1962,,2.89,,3.55,3.81,
9/04/1962,,2.9,,3.57,3.83,
10/04/1962,,2.94,,3.57,3.83,
11/04/1962,,3,,3.61,3.87,
12/04/1962,,3,,3.61,3.86,
13/04/1962,,3,,3.6,3.85,
16/04/1962,,3,,3.6,3.83,
17/04/1962,,3,,3.6,3.82,
18/04/1962,,3,,3.6,3.81,
19/04/1962,,3,,3.6,3.82,
23/04/1962,,3.03,,3.63,3.86,
24/04/1962,,3.08,,3.65,3.87,
25/04/1962,,3.08,,3.66,3.88,
26/04/1962,,3.04,,3.66,3.89,
27/04/1962,,3.07,,3.64,3.86,
30/04/1962,,3.07,,3.64,3.86,
1/05/1962,,3.06,,3.63,3.85,
2/05/1962,,3.06,,3.64,3.86,
3/05/1962,,3.05,,3.64,3.86,
4/05/1962,,3.05,,3.64,3.87,
7/05/1962,,3.04,,3.64,3.86,
8/05/1962,,3.01,,3.62,3.85,
9/05/1962,,3.01,,3.6,3.82,
10/05/1962,,2.99,,3.61,3.83,
11/05/1962,,3,,3.61,3.82,
14/05/1962,,3,,3.63,3.85,
15/05/1962,,3.04,,3.67,3.87,
16/05/1962,,3.04,,3.67,3.86,
17/05/1962,,3.06,,3.67,3.87,
18/05/1962,,3.05,,3.72,3.93,
21/05/1962,,3.05,,3.74,3.94,
22/05/1962,,3.05,,3.71,3.93,
23/05/1962,,3.04,,3.69,3.91,
24/05/1962,,3.02,,3.68,3.9,
25/05/1962,,3.01,,3.66,3.88,
28/05/1962,,2.98,,3.65,3.87,
29/05/1962,,2.97,,3.66,3.89,
31/05/1962,,2.99,,3.66,3.9,
1/06/1962,,2.98,,3.64,3.89,
4/06/1962,,2.98,,3.63,3.88,
5/06/1962,,2.97,,3.64,3.89,
6/06/1962,,2.95,,3.62,3.89,
7/06/1962,,2.95,,3.6,3.87,
8/06/1962,,2.94,,3.6,3.86,
11/06/1962,,2.95,,3.59,3.87,
12/06/1962,,2.94,,3.57,3.86,
13/06/1962,,2.94,,3.57,3.87,
14/06/1962,,3,,3.6,3.9,
15/06/1962,,3,,3.6,3.89,
18/06/1962,,3.03,,3.61,3.91,
19/06/1962,,3.06,,3.64,3.93,
20/06/1962,,3.04,,3.63,3.92,
21/06/1962,,3.04,,3.61,3.9,
22/06/1962,,3.04,,3.61,3.9,
25/06/1962,,3.12,,3.68,3.95,
26/06/1962,,3.14,,3.71,3.97,
27/06/1962,,3.14,,3.68,3.96,
28/06/1962,,3.18,,3.76,3.98,
29/06/1962,,3.2,,3.76,4,
2/07/1962,,3.21,,3.77,4,
3/07/1962,,3.23,,3.76,4,
5/07/1962,,3.21,,3.78,4,
6/07/1962,,3.23,,3.79,4.02,
9/07/1962,,3.26,,3.83,4.05,
10/07/1962,,3.27,,3.81,4.02,
11/07/1962,,3.26,,3.77,3.99,
12/07/1962,,3.27,,3.78,4,
13/07/1962,,3.27,,3.78,4,
16/07/1962,,3.28,,3.8,4.01,
17/07/1962,,3.34,,3.82,4.03,
18/07/1962,,3.36,,3.83,4.02,
19/07/1962,,3.33,,3.83,4.02,
20/07/1962,,3.32,,3.82,4.01,
23/07/1962,,3.32,,3.81,4,
24/07/1962,,3.32,,3.82,4.01,
25/07/1962,,3.32,,3.83,4.02,
26/07/1962,,3.32,,3.82,4.01,
27/07/1962,,3.32,,3.79,4.02,
30/07/1962,,3.33,,3.81,4.03,
31/07/1962,,3.33,,3.82,4.04,
1/08/1962,,3.3,,3.8,4.03,
2/08/1962,,3.26,,3.76,4,
3/08/1962,,3.27,,3.77,4.01,
6/08/1962,,3.26,,3.76,4.01,
7/08/1962,,3.28,,3.79,4.02,
8/08/1962,,3.28,,3.78,4.01,
9/08/1962,,3.28,,3.76,3.99,
10/08/1962,,3.28,,3.76,3.99,
13/08/1962,,3.26,,3.74,3.99,
14/08/1962,,3.24,,3.73,3.98,
15/08/1962,,3.2,,3.72,3.98,
16/08/1962,,3.19,,3.69,3.96,
17/08/1962,,3.18,,3.69,3.96,
20/08/1962,,3.17,,3.66,3.94,
21/08/1962,,3.17,,3.66,3.94,
22/08/1962,,3.14,,3.66,3.95,
23/08/1962,,3.13,,3.66,3.95,
24/08/1962,,3.12,,3.66,3.95,
27/08/1962,,3.11,,3.67,3.95,
28/08/1962,,3.1,,3.67,3.96,
29/08/1962,,3.1,,3.67,3.96,
30/08/1962,,3.12,,3.66,3.95,
31/08/1962,,3.14,,3.66,3.96,
4/09/1962,,3.15,,3.67,3.96,
5/09/1962,,3.16,,3.68,3.97,
6/09/1962,,3.09,,3.72,3.99,
7/09/1962,,3.1,,3.74,4.01,
10/09/1962,,3.08,,3.72,4,
11/09/1962,,3.07,,3.72,4,
12/09/1962,,3.05,,3.72,4,
13/09/1962,,3.06,,3.72,3.99,
14/09/1962,,3.06,,3.72,3.99,
17/09/1962,,3.03,,3.71,3.99,
18/09/1962,,3.05,,3.71,3.98,
19/09/1962,,3.04,,3.71,3.99,
20/09/1962,,3.03,,3.71,3.98,
21/09/1962,,3.04,,3.71,3.98,
24/09/1962,,3.04,,3.69,3.97,
25/09/1962,,3.04,,3.68,3.96,
26/09/1962,,3.02,,3.67,3.95,
27/09/1962,,3.02,,3.67,3.95,
28/09/1962,,3.02,,3.66,3.94,
1/10/1962,,3,,3.64,3.93,
2/10/1962,,2.99,,3.62,3.92,
3/10/1962,,2.98,,3.6,3.9,
4/10/1962,,2.97,,3.6,3.9,
5/10/1962,,2.97,,3.62,3.92,
8/10/1962,,2.99,,3.64,3.93,
9/10/1962,,2.99,,3.64,3.95,
10/10/1962,,2.98,,3.62,3.93,
11/10/1962,,2.98,,3.63,3.94,
15/10/1962,,2.97,,3.63,3.94,
16/10/1962,,2.96,,3.63,3.94,
17/10/1962,,2.96,,3.64,3.94,
18/10/1962,,2.96,,3.63,3.92,
19/10/1962,,2.94,,3.62,3.88,
22/10/1962,,2.96,,3.64,3.91,
23/10/1962,,2.99,,3.67,3.94,
24/10/1962,,2.99,,3.67,3.94,
25/10/1962,,2.99,,3.67,3.94,
26/10/1962,,2.97,,3.65,3.93,
29/10/1962,,2.97,,3.64,3.92,
30/10/1962,,2.97,,3.63,3.92,
31/10/1962,,2.97,,3.64,3.92,
1/11/1962,,2.97,,3.63,3.92,
2/11/1962,,3,,3.62,3.91,
5/11/1962,,3,,3.61,3.91,
7/11/1962,,2.99,,3.6,3.91,
8/11/1962,,2.97,,3.59,3.9,
9/11/1962,,2.97,,3.57,3.89,
13/11/1962,,2.98,,3.58,3.9,
14/11/1962,,2.99,,3.59,3.91,
15/11/1962,,2.99,,3.59,3.91,
16/11/1962,,3,,3.63,3.93,
19/11/1962,,3.02,,3.62,3.93,
20/11/1962,,3.01,,3.61,3.93,
21/11/1962,,3,,3.59,3.92,
23/11/1962,,3.01,,3.59,3.92,
26/11/1962,,3.02,,3.6,3.93,
27/11/1962,,3.03,,3.6,3.92,
28/11/1962,,3.04,,3.59,3.92,
29/11/1962,,3.03,,3.59,3.92,
30/11/1962,,3.02,,3.59,3.92,
3/12/1962,,3.03,,3.6,3.93,
4/12/1962,,3.04,,3.61,3.94,
5/12/1962,,3.03,,3.61,3.93,
6/12/1962,,3,,3.6,3.92,
7/12/1962,,3,,3.59,3.91,
10/12/1962,,2.99,,3.58,3.9,
11/12/1962,,2.99,,3.57,3.89,
12/12/1962,,2.99,,3.57,3.88,
13/12/1962,,3,,3.57,3.88,
14/12/1962,,2.99,,3.57,3.87,
17/12/1962,,3,,3.56,3.85,
18/12/1962,,3,,3.55,3.83,
19/12/1962,,3,,3.55,3.84,
20/12/1962,,2.99,,3.54,3.83,
21/12/1962,,2.99,,3.51,3.81,
24/12/1962,,2.98,,3.5,3.79,
26/12/1962,,2.99,,3.5,3.79,
27/12/1962,,3.01,,3.52,3.81,
28/12/1962,,3.05,,3.56,3.84,
31/12/1962,,3.05,,3.56,3.85,
2/01/1963,,3.04,,3.53,3.82,
3/01/1963,,3.02,,3.53,3.81,
4/01/1963,,3.05,,3.56,3.84,
7/01/1963,,3.07,,3.57,3.83,
8/01/1963,,3.06,,3.56,3.81,
9/01/1963,,3.02,,3.56,3.82,
10/01/1963,,3.01,,3.55,3.81,
11/01/1963,,3.01,,3.54,3.8,
14/01/1963,,3.01,,3.54,3.81,
15/01/1963,,3.01,,3.53,3.8,
16/01/1963,,3.01,,3.53,3.8,
17/01/1963,,3.01,,3.56,3.82,
18/01/1963,,3.03,,3.57,3.84,
21/01/1963,,3.05,,3.6,3.85,
22/01/1963,,3.06,,3.62,3.86,
23/01/1963,,3.06,,3.62,3.86,
24/01/1963,,3.07,,3.62,3.86,
25/01/1963,,3.06,,3.61,3.85,
28/01/1963,,3.05,,3.62,3.86,
29/01/1963,,3.06,,3.63,3.86,
30/01/1963,,3.06,,3.63,3.86,
31/01/1963,,3.03,,3.65,3.87,
1/02/1963,,3.03,,3.66,3.88,
4/02/1963,,3.02,,3.66,3.89,
5/02/1963,,3.02,,3.66,3.9,
6/02/1963,,3.01,,3.65,3.91,
7/02/1963,,2.98,,3.65,3.91,
8/02/1963,,2.98,,3.65,3.91,
11/02/1963,,2.99,,3.65,3.92,
13/02/1963,,3,,3.65,3.92,
14/02/1963,,3,,3.65,3.91,
15/02/1963,,3,,3.64,3.91,
18/02/1963,,2.99,,3.64,3.91,
19/02/1963,,3.02,,3.66,3.93,
20/02/1963,,3.01,,3.66,3.94,
21/02/1963,,3.01,,3.68,3.95,
25/02/1963,,3.03,,3.68,3.95,
26/02/1963,,3.04,,3.68,3.95,
27/02/1963,,3.04,,3.68,3.95,
28/02/1963,,3.02,,3.68,3.94,
1/03/1963,,3,,3.67,3.93,
4/03/1963,,2.98,,3.67,3.92,
5/03/1963,,2.98,,3.67,3.92,
6/03/1963,,2.99,,3.67,3.91,
7/03/1963,,2.98,,3.67,3.92,
8/03/1963,,3,,3.67,3.92,
11/03/1963,,3.01,,3.68,3.92,
12/03/1963,,3,,3.68,3.92,
13/03/1963,,3,,3.68,3.92,
14/03/1963,,2.99,,3.68,3.92,
15/03/1963,,3,,3.68,3.92,
18/03/1963,,3.02,,3.68,3.92,
19/03/1963,,3.04,,3.68,3.92,
20/03/1963,,3.06,,3.68,3.92,
21/03/1963,,3.06,,3.68,3.92,
22/03/1963,,3.06,,3.68,3.93,
25/03/1963,,3.08,,3.69,3.94,
26/03/1963,,3.1,,3.71,3.96,
27/03/1963,,3.11,,3.72,3.96,
28/03/1963,,3.11,,3.71,3.96,
29/03/1963,,3.09,,3.71,3.95,
1/04/1963,,3.1,,3.7,3.95,
2/04/1963,,3.09,,3.7,3.96,
3/04/1963,,3.08,,3.71,3.96,
4/04/1963,,3.07,,3.7,3.95,
5/04/1963,,3.07,,3.7,3.95,
8/04/1963,,3.09,,3.72,3.97,
9/04/1963,,3.09,,3.73,3.98,
10/04/1963,,3.11,,3.76,4,
11/04/1963,,3.11,,3.74,4,
15/04/1963,,3.14,,3.77,4.01,
16/04/1963,,3.15,,3.76,4,
17/04/1963,,3.15,,3.77,4,
18/04/1963,,3.14,,3.76,3.99,
19/04/1963,,3.14,,3.75,3.97,
22/04/1963,,3.14,,3.76,3.97,
23/04/1963,,3.14,,3.76,3.97,
24/04/1963,,3.14,,3.76,3.96,
25/04/1963,,3.12,,3.75,3.95,
26/04/1963,,3.12,,3.73,3.95,
29/04/1963,,3.11,,3.74,3.95,
30/04/1963,,3.11,,3.73,3.95,
1/05/1963,,3.11,,3.72,3.94,
2/05/1963,,3.1,,3.72,3.94,
3/05/1963,,3.1,,3.71,3.93,
6/05/1963,,3.1,,3.69,3.92,
7/05/1963,,3.08,,3.68,3.91,
8/05/1963,,3.09,,3.7,3.92,
9/05/1963,,3.09,,3.71,3.93,
10/05/1963,,3.09,,3.71,3.93,
13/05/1963,,3.09,,3.7,3.92,
14/05/1963,,3.09,,3.7,3.91,
15/05/1963,,3.08,,3.69,3.91,
