Date,Baltic Dry
4/01/1985,1000
7/01/1985,998
8/01/1985,996
9/01/1985,994
10/01/1985,980
11/01/1985,980
14/01/1985,974
15/01/1985,973
16/01/1985,979
17/01/1985,984
18/01/1985,984
21/01/1985,976
22/01/1985,976
23/01/1985,977
24/01/1985,975
25/01/1985,972
28/01/1985,970
29/01/1985,972
30/01/1985,973
31/01/1985,972
1/02/1985,974
4/02/1985,974
5/02/1985,972
6/02/1985,970
7/02/1985,969
8/02/1985,966
11/02/1985,967
12/02/1985,966
13/02/1985,966
14/02/1985,966
15/02/1985,974
18/02/1985,973
19/02/1985,972
20/02/1985,974
21/02/1985,976
22/02/1985,984
25/02/1985,985
26/02/1985,986
27/02/1985,986
28/02/1985,984
1/03/1985,984
4/03/1985,982
5/03/1985,980
6/03/1985,987
7/03/1985,990
8/03/1985,988
11/03/1985,992
12/03/1985,990
13/03/1985,992
14/03/1985,990
15/03/1985,994
18/03/1985,1000
19/03/1985,1002
20/03/1985,1000
21/03/1985,1000
22/03/1985,998
25/03/1985,996
26/03/1985,998
27/03/1985,997
28/03/1985,1008
29/03/1985,1016
1/04/1985,1018
2/04/1985,1020
3/04/1985,1026
4/04/1985,1026
9/04/1985,1022
10/04/1985,1022
11/04/1985,1024
12/04/1985,1028
15/04/1985,1064
16/04/1985,1064
17/04/1985,1058
18/04/1985,1056
19/04/1985,1059
22/04/1985,1062
23/04/1985,1062
24/04/1985,1058
25/04/1985,1058
26/04/1985,1057
29/04/1985,1059
30/04/1985,1063
1/05/1985,1062
2/05/1985,1058
3/05/1985,1058
7/05/1985,1056
8/05/1985,1056
9/05/1985,1053
10/05/1985,1032
13/05/1985,1024
14/05/1985,1018
15/05/1985,1010
16/05/1985,1000
17/05/1985,990
20/05/1985,990
21/05/1985,984
22/05/1985,979
23/05/1985,974
24/05/1985,968
28/05/1985,954
29/05/1985,950
30/05/1985,942
31/05/1985,932
3/06/1985,931
4/06/1985,930
5/06/1985,931
6/06/1985,932
7/06/1985,930
10/06/1985,926
11/06/1985,922
12/06/1985,919
13/06/1985,917
14/06/1985,926
17/06/1985,928
18/06/1985,925
19/06/1985,918
20/06/1985,911
21/06/1985,896
24/06/1985,892
25/06/1985,891
26/06/1985,890
27/06/1985,884
28/06/1985,872
1/07/1985,864
2/07/1985,854
3/07/1985,838
4/07/1985,818
5/07/1985,807
8/07/1985,803
9/07/1985,801
10/07/1985,792
11/07/1985,792
12/07/1985,784
15/07/1985,776
16/07/1985,773
17/07/1985,770
18/07/1985,764
19/07/1985,764
22/07/1985,760
23/07/1985,760
24/07/1985,754
25/07/1985,748
26/07/1985,746
29/07/1985,732
30/07/1985,728
31/07/1985,726
1/08/1985,718
2/08/1985,716
5/08/1985,716
6/08/1985,714
7/08/1985,712
8/08/1985,713
9/08/1985,716
12/08/1985,717
13/08/1985,718
14/08/1985,718
15/08/1985,724
16/08/1985,726
19/08/1985,726
20/08/1985,730
21/08/1985,732
22/08/1985,736
23/08/1985,740
27/08/1985,742
28/08/1985,740
29/08/1985,739
30/08/1985,738
2/09/1985,738
3/09/1985,740
4/09/1985,740
5/09/1985,737
6/09/1985,735
9/09/1985,736
10/09/1985,740
11/09/1985,747
12/09/1985,755
13/09/1985,760
16/09/1985,760
17/09/1985,760
18/09/1985,765
19/09/1985,779
20/09/1985,806
23/09/1985,820
24/09/1985,826
25/09/1985,840
26/09/1985,866
27/09/1985,883
30/09/1985,894
1/10/1985,906
2/10/1985,906
3/10/1985,903
4/10/1985,886
7/10/1985,884
8/10/1985,883
9/10/1985,868
10/10/1985,869
11/10/1985,872
14/10/1985,884
15/10/1985,888
16/10/1985,888
17/10/1985,891
18/10/1985,896
21/10/1985,897
22/10/1985,898
23/10/1985,898
24/10/1985,903
25/10/1985,902
28/10/1985,902
29/10/1985,902
30/10/1985,904
31/10/1985,905
1/11/1985,906
4/11/1985,910
5/11/1985,914
6/11/1985,914
7/11/1985,911
8/11/1985,910
11/11/1985,898
12/11/1985,894
13/11/1985,892
14/11/1985,891
15/11/1985,890
18/11/1985,892
19/11/1985,895
20/11/1985,904
21/11/1985,903
22/11/1985,902
25/11/1985,902
26/11/1985,901
27/11/1985,900
28/11/1985,912
29/11/1985,915
2/12/1985,916
3/12/1985,920
4/12/1985,920
5/12/1985,922
6/12/1985,920
9/12/1985,918
10/12/1985,918
11/12/1985,916
12/12/1985,910
13/12/1985,907
16/12/1985,902
17/12/1985,900
18/12/1985,897
19/12/1985,895
20/12/1985,894
23/12/1985,894
24/12/1985,894
30/12/1985,896
31/12/1985,898
2/01/1986,898
3/01/1986,898
6/01/1986,904
7/01/1986,902
8/01/1986,906
9/01/1986,914
10/01/1986,920
13/01/1986,918
14/01/1986,917
15/01/1986,912
16/01/1986,909
17/01/1986,906
20/01/1986,908
21/01/1986,904
22/01/1986,894
23/01/1986,892
24/01/1986,887
27/01/1986,883
28/01/1986,869
29/01/1986,846
30/01/1986,836
31/01/1986,831
3/02/1986,828
4/02/1986,821
5/02/1986,812
6/02/1986,799
7/02/1986,796
10/02/1986,796
11/02/1986,789
12/02/1986,786
13/02/1986,784
14/02/1986,780
17/02/1986,770
18/02/1986,768
19/02/1986,761
20/02/1986,753
21/02/1986,749
24/02/1986,742
25/02/1986,739
26/02/1986,738
27/02/1986,737
28/02/1986,737
3/03/1986,734
4/03/1986,733
5/03/1986,736
6/03/1986,739
7/03/1986,739
10/03/1986,741
