Date,Mkt-RF,SMB,HML,RF,Mom
2/01/1970,0.0118,0.0132,0.0097,0.00029,-0.0341
5/01/1970,0.0059,0.0067,0.0076,0.00029,-0.0152
6/01/1970,-0.0074,0.001,0.0028,0.00029,0.004
7/01/1970,-0.0015,0.0038,-0.0035,0.00029,0.0011
8/01/1970,0.0004,0.0017,-0.0018,0.00029,0.0033
9/01/1970,-0.0031,0.0019,0.0008,0.00029,0.008
12/01/1970,-0.008,-0.001,-0.0004,0.00029,0.0084
13/01/1970,0.0005,-0.0017,-0.005,0.00029,0.0058
14/01/1970,-0.0025,-0.0013,-0.0028,0.00029,0.0089
15/01/1970,-0.0004,-0.0009,-0.0064,0.00029,0.0047
16/01/1970,-0.0082,-0.001,0.007,0.00029,0.0028
19/01/1970,-0.0131,0.0042,0.0106,0.00029,-0.0041
20/01/1970,0.0017,0.003,-0.0039,0.00029,0.0037
21/01/1970,0.0006,0.0006,0.0015,0.00029,-0.0005
22/01/1970,0.0011,0.0015,-0.0011,0.00029,-0.0003
23/01/1970,-0.0106,-0.0014,0.0042,0.00029,0.0106
26/01/1970,-0.0113,-0.003,0.0042,0.00029,0.0018
27/01/1970,-0.0067,0.0021,-0.0032,0.00029,0.0005
28/01/1970,-0.0099,0.0041,-0.0014,0.00029,0.0013
29/01/1970,-0.0133,-0.0009,0.0044,0.00029,0.0043
30/01/1970,-0.0088,-0.002,0.0093,0.00029,-0.0038
2/02/1970,0.0082,-0.0064,-0.0013,0.00032,-0.0029
3/02/1970,0.0126,-0.0016,-0.003,0.00032,-0.0027
4/02/1970,-0.0074,-0.0031,0.0073,0.00032,0.0067
5/02/1970,-0.0041,-0.0017,-0.0006,0.00032,0.0056
6/02/1970,0.0059,0.0017,-0.0032,0.00032,0.0013
9/02/1970,0.0082,-0.0007,-0.0022,0.00032,0.0071
10/02/1970,-0.0094,0.0035,0.001,0.00032,0.0049
11/02/1970,0.009,-0.0016,-0.0083,0.00032,0.0048
12/02/1970,-0.0021,0.0027,0.0028,0.00032,0.0031
13/02/1970,-0.0018,-0.0002,0.0063,0.00032,0.0041
16/02/1970,-0.0007,0.002,0.0038,0.00032,0.0004
17/02/1970,-0.002,-0.0007,0.0019,0.00032,0.0053
18/02/1970,0.0119,-0.0051,-0.0005,0.00032,-0.0086
19/02/1970,0.0028,-0.0031,0.0053,0.00032,-0.0063
20/02/1970,0.0032,-0.0062,0.0087,0.00032,-0.0074
24/02/1970,-0.0003,-0.001,0.0047,0.00032,-0.0042
25/02/1970,0.0152,-0.0018,0.0022,0.00032,-0.007
26/02/1970,-0.0053,0.0008,0.0064,0.00032,0.0011
27/02/1970,0.0069,0.0011,0.0041,0.00032,-0.0065
2/03/1970,0.0013,-0.0016,0.007,0.00027,-0.006
3/03/1970,0.0058,-0.0043,0.0061,0.00027,-0.0026
4/03/1970,-0.0025,0.0015,0.0061,0.00027,0.0002
5/03/1970,-0.0002,0.0017,0.0037,0.00027,-0.004
6/03/1970,-0.0069,0.0023,0.0026,0.00027,0.0026
9/03/1970,-0.0108,0,0.0079,0.00027,-0.0027
10/03/1970,0.0014,-0.0026,-0.0033,0.00027,0.0063
11/03/1970,-0.0014,-0.0012,0.0046,0.00027,-0.0015
12/03/1970,-0.0051,-0.0022,0.0039,0.00027,-0.0018
13/03/1970,-0.0063,-0.0029,0.0073,0.00027,-0.0036
16/03/1970,-0.0115,-0.0013,0.0036,0.00027,0.0006
17/03/1970,0.0039,-0.0015,-0.0046,0.00027,0.0035
18/03/1970,0.0026,-0.0013,0.0014,0.00027,0.0005
19/03/1970,-0.0029,-0.0032,0.0037,0.00027,-0.0001
20/03/1970,-0.0052,-0.0049,0.0066,0.00027,-0.0012
23/03/1970,-0.0014,-0.0018,-0.0007,0.00027,0.0036
24/03/1970,0.0101,-0.0051,-0.0044,0.00027,0.0041
25/03/1970,0.0214,0.0012,-0.0052,0.00027,-0.0089
26/03/1970,0.001,0.003,-0.001,0.00027,-0.0002
30/03/1970,-0.0028,0.001,-0.003,0.00027,0.0037
31/03/1970,-0.0005,-0.0002,0.0011,0.00027,0.0066
1/04/1970,0.0045,-0.0007,0.0003,0.00023,-0.0004
2/04/1970,-0.0039,0.0012,0.0011,0.00023,-0.0006
3/04/1970,-0.0049,0.0001,0.0098,0.00023,-0.0043
6/04/1970,-0.0083,-0.0028,0.0116,0.00023,-0.0023
7/04/1970,-0.0036,-0.0012,0.0059,0.00023,0.0042
8/04/1970,-0.0019,-0.0025,0.0009,0.00023,0.0024
9/04/1970,-0.001,-0.0065,0.0043,0.00023,-0.0001
10/04/1970,-0.0044,-0.0041,-0.0029,0.00023,0.0011
