,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
0,MSCI Australia,1970-01-30,2020-04-30,0.0715622446642703,0.2376439354143583,-0.6748152280100786,4.418190055763819,0.41541027509931405,0.6077957019266131,-0.6326101707128146,1.0869168447706818,-0.12897714570058164
1,MSCI Canada,1970-01-30,2020-04-30,0.07975802442313595,0.19512958350483275,-0.5189430885463803,2.419779969547249,0.4938503195458912,0.7354777369106672,-0.5616212073907983,1.117328704500788,-0.10462771696614823
2,MSCI China,1970-01-30,2020-04-30,0.03544071975837371,0.2561500862364527,-0.40262580550320265,0.7299461159176026,0.48519900068400595,0.7211567079339455,-0.6482528263103802,1.0987940128042637,-0.1375313407526411
3,MSCI EM,1970-01-30,2020-04-30,0.029871973717771505,0.21694263394807783,-0.516024009877741,1.4953269704995353,0.46469260380064037,0.687842829473249,-0.6159388138851914,1.192154344070784,-0.11685091832157074
4,MSCI FM,1970-01-30,2020-04-30,0.02169515333456129,0.1831667975086571,-0.858636219479994,4.4778067804385415,0.42429851726470225,0.5984786334616834,-0.6615561857497342,1.1287108799389076,-0.0992749497986376
5,MSCI World,1970-01-30,2020-04-30,0.0849270551432928,0.14763898209165555,-0.5586779031999084,1.6420114110203912,0.6285622724830001,0.9443248405562009,-0.5402896039539369,1.10061507501309,-0.07750604821261567
6,MSCI Germany,1970-01-30,2020-04-30,0.08028283875135989,0.21649127044536684,-0.31696835256740946,1.3298633660249362,0.4672627005872074,0.7037222505601862,-0.6411991756322482,1.1575104938868992,-0.11656143529534849
7,MSCI Japan,1970-01-30,2020-04-30,0.08465829036506256,0.20494248413728197,0.22656029862411656,0.9230035254904361,0.49899390409843764,0.8143559728988318,-0.6200560040222339,1.234013833754802,-0.10980151086210917
8,MSCI UK,1970-01-30,2020-04-30,0.08141279361875031,0.21372118979615026,1.09192674203477,11.184540747579025,0.4705887323002816,0.7736129064867222,-0.6977145045965268,1.1720139587143081,-0.11501075447934461
9,MSCI USA,1970-01-30,2020-04-30,0.0907137688497619,0.1525071964037566,-0.4201908071717877,1.8330237317827942,0.6481928996096213,0.9962868450212702,-0.5112225777624032,1.079419088740646,-0.07981223074304025
10,ARGT,1993-02-28,2020-05-31,inf,,9.273671434659144,88.27051378279262,,inf,0.0,19486.03933127912,
11,ECH,1993-02-28,2020-05-31,,,12.124632423681788,145.00671140939596,,inf,0.0,85861.16876012059,
12,EDEN,1993-02-28,2020-05-31,,,9.849370589540282,95.01010101010102,,inf,0.0,446672.9732566262,
